x,y,yaw,velocities
1.3786501,2.6425374,-2.86941818244384,3.9216941
0.4333715,2.3787096,-3.1302254798962883,4.2859396
-0.5531637,2.367495,3.0650318023741376,4.2857982
-1.5421445,2.4433605,3.0707809642803676,4.0100557
-2.5485059,2.514742,-3.1288028171526996,3.6990959
-3.5437341,2.5020125,-2.9413656761317837,3.3964918
-4.513992,2.3051022,-2.5822378323798842,3.1150509
-5.363061,1.7735416,-2.0406719378878795,3.1064655
-5.789064,0.9346383,-1.4962628685999788,3.1970071
-5.7171348,-0.0286332,-0.9306187205926882,3.4213965
-5.1173016,-0.8339731,-0.4858529576388707,3.9703425
-4.2443467,-1.294957,-0.18591009833492966,4.6398096
-3.2689789,-1.4784061,0.014366984729560434,5.1505863
-2.2710163,-1.4640674,0.14237474418067655,5.4047379
-1.2871349,-1.3230333,0.21211252264665828,5.4712116
-0.3197273,-1.1147002,0.24427186731023195,5.4616381
0.6404665,-0.8753727,0.2384935291965363,5.3976552
1.605511,-0.6407505,0.20857233485767135,5.3015438
2.5748138,-0.4355972,0.17495311577232445,5.18261
3.5499283,-0.2632357,0.15684696117775107,5.0463252
4.5321451,-0.1079021,0.1642172745604424,4.8951643
5.5184999,0.0555463,0.20301195167578756,4.7312493
6.4985984,0.2572973,0.28325518243038167,4.5587671
7.4538413,0.5353513,0.4268126279155006,4.3890594
8.34684,0.9414593,0.669569207353755,4.2556676
9.1083687,1.5442498,0.9725284690511838,4.2242748
9.6608061,2.3547543,1.2208074848340114,4.2686191
10.0014436,3.2879672,1.3973487659707133,4.2688369
10.1749279,4.2781287,1.525137890172223,4.1974734
10.220522,5.2760256,1.629721340893784,4.0641739
10.1617665,6.2719945,1.7441226428020902,3.8511722
9.9861107,7.2752654,1.7915203154578223,3.5636496
9.7747035,8.2174503,1.9494354377755676,3.2248878
9.4021331,9.1539437,2.7088251534872425,2.5177311
8.6018541,9.5236525,-2.223962102552175,2.3884163
8.0328277,8.780033,-1.6886219710511645,3.3212456
7.9162482,7.7951921,-1.6316301893561367,3.7817071
7.8554926,6.7977109,-1.5822584750786601,3.5796571
7.8438758,5.7842629,-1.6649964744585217,3.0970769
7.7480543,4.7700617,-2.409827880693807,2.2802205
7.1063286,4.1937274,2.195009167548133,2.131771
6.6064184,4.8877693,2.2717873565632205,4.1684509
5.9383285,5.6793601,2.222324294407998,4.9320599
5.3238453,6.4851148,2.237742233353886,4.9033507
4.7032034,7.2734366,2.331651192084705,4.7604402
4.0190206,7.9920557,2.5056386068089966,4.7040432
3.2252466,8.5780783,2.709558712003891,4.7298856
2.3402366,8.9861432,2.8684438410656425,4.7036148
1.3937902,9.2512912,2.978512731811621,4.5872218
0.4130679,9.4126604,3.0602066249510895,4.4102094
-0.5835214,9.4939484,3.132143437219879,4.1987278
-1.5849503,9.5034114,-3.0711272572729453,3.966278
-2.576249,9.4334433,-2.959606703898427,3.72023
-3.5577388,9.2528276,-2.775378227438321,3.475714
-4.4935734,8.8939215,-2.4390755100180863,3.242002
-5.2505822,8.2530375,-1.8689870898264114,3.1177996
-5.5301768,7.3433578,-1.3382121404213827,3.1517452
-5.3043275,6.3898877,-0.8403641390543972,3.2672741
-4.6532835,5.6630296,-0.30139121665984503,3.4651944
-3.7087769,5.3694191,0.06873115171406644,4.025411
-2.7224258,5.4373191,0.23953745722939615,4.2822502
-1.7545571,5.6736983,0.25561002278636386,4.0030814
-0.7846683,5.9271558,0.13899790424307243,3.6597616
0.2025923,6.0652736,-0.17100251794978527,3.3422626
1.168507,5.8984707,-0.7088311008645687,3.1300084
1.9053491,5.2666299,-1.2749756178244471,3.0888309
2.1922731,4.3251637,-1.728626135609717,3.1305829
2.0377045,3.3539719,-2.317993073710901,3.1855748
1.3786501,2.6425374,-2.317993073710901,3.9216941
