x,y,yaw,velocities
-1.6820524,-14.0065903,-0.5261513625845816,3.9579801
-0.8242537,-14.5047644,-0.06942058785518902,3.5589641
0.1540453,-14.5727878,0.4064555142348106,3.3106903
1.0513325,-14.1865742,0.9575181029204332,3.1707675
1.615582,-13.3848667,1.340886076810451,3.3501534
1.8422385,-12.4164507,1.5619133169692374,3.5565114
1.8510398,-11.4256752,1.6697594557365427,3.8093331
1.7526328,-10.4345431,1.692914770764247,4.0996179
1.6304632,-9.4391022,1.6269113999702305,4.3525464
1.5743389,-8.4399878,1.4428120716792434,4.400292
1.7011794,-7.4543416,1.1004033384377239,4.1314115
2.1486131,-6.5743641,0.527300987096223,3.6235338
2.9778885,-6.0914794,-0.27017901836147995,2.645279
3.9007843,-6.3470762,-0.8097692930011274,2.7972945
4.5727838,-7.0526555,-1.2353996429436045,3.0057308
4.8979268,-7.9854575,-1.4953972008467284,3.3342713
4.9727067,-8.9753647,-1.6211739715828006,3.6895882
4.922031,-9.98043,-1.6577603687295053,4.0308068
4.8348009,-10.9809595,-1.6183044726868985,4.3299089
4.7874248,-11.9774297,-1.4649084068506313,4.4319517
4.8949406,-12.9890056,-1.1299495277949785,4.1730414
5.3049373,-13.8579825,-0.6381874901381759,3.5395425
6.02121,-14.3892637,0.45124562532495854,1.9753403
6.9119287,-13.9576283,1.0383760125885857,2.7550559
7.4170819,-13.1002344,1.3701181867390264,2.9740785
7.6160858,-12.1219251,1.519488705191991,3.4168072
7.66713,-11.1279324,1.5911191123171544,3.7973683
7.6469194,-10.1335895,1.6219434916883004,4.1574958
7.5960056,-9.1390203,1.6318958188031143,4.4716096
7.5352847,-8.1464536,1.6317255577468668,4.7352311
7.4748319,-7.1555011,1.625255062255387,4.9502381
7.4208476,-6.1651931,1.6166539187729547,5.1220453
7.3753758,-5.1743011,1.6144648373137123,5.2522637
7.3320059,-4.1817706,1.6290673549339905,5.33669
7.2740384,-3.1881057,1.6717711477560546,5.3684573
7.1737137,-2.1979232,1.7563633206252616,5.3341997
6.9904763,-1.2218375,1.9038606626280583,5.2056321
6.6660448,-0.284045,2.1491633632041443,4.9385365
6.1245879,0.5453456,2.4805821213116164,4.5472921
5.351792,1.1463686,2.774186100251879,4.3317841
4.4373333,1.4983278,2.9836275834868293,4.3310153
3.453235,1.655087,-3.1415536784025906,4.3914488
2.4474669,1.6550478,-3.0038502611224973,4.4372339
1.4621717,1.518466,-2.853272390764363,4.4260556
0.4849719,1.2286438,-2.719408248361556,4.1388815
-0.4135485,0.8250328,-2.510895076774113,3.6277798
-1.1604092,0.2796873,-0.8257573913481977,2.7429625
-0.5479841,-0.38428,0.0766270887349957,1.8558364
0.4636076,-0.3066126,-0.007546370622482725,2.8922234
1.4508184,-0.3140626,-0.1280585483219473,3.3810878
2.4659137,-0.4447695,-0.2815982598500863,3.4695735
3.4509581,-0.7297286,-0.7423885757304732,3.2677787
4.1227881,-1.3461186,-2.3696646138330526,2.0689653
3.4779811,-1.9737842,-2.62711550199161,2.7986382
2.5804544,-2.4811125,-2.7173812105988144,3.2108854
1.6548464,-2.899148,-2.707780245873982,3.6627081
0.7630811,-3.3122524,-2.5777476091650517,4.1039055
-0.0916694,-3.8527273,-2.268355449888994,4.2719483
-0.7117522,-4.5925731,-2.0621920157159606,4.3171649
-1.1722632,-5.4530482,-1.9638041084131344,4.4426473
-1.5557508,-6.3780614,-1.8954930837003598,4.5808481
-1.8755496,-7.3281184,-1.838404501602642,4.710103
-2.1391336,-8.2894554,-1.7828379402938022,4.8195407
-2.3484489,-9.2617589,-1.7173812183040247,4.8955888
-2.4945751,-10.2514795,-1.6305261009793939,4.9314885
-2.554061,-11.2462119,-1.5041198182971423,4.9088672
-2.4881734,-12.2329152,-1.3048183399382358,4.7904313
-2.2288358,-13.1848474,-0.9836748076447319,4.4805619
-1.6820524,-14.0065903,-0.9836748076447319,3.9579801
