# x_m,y_m,w_tr_right_m,w_tr_left_m
3.1000,1.4400,0.5590,0.5590
3.0000,1.4900,0.6000,0.6000
2.9000,1.4900,0.6000,0.6000
2.8000,1.4900,0.6021,0.6021
2.7000,1.4900,0.6185,0.6185
2.6000,1.4900,0.6500,0.6500
2.5000,1.4900,0.6185,0.6185
2.4000,1.5400,0.6519,0.6519
2.3000,1.5400,0.6500,0.6500
2.2000,1.5400,0.6325,0.6325
2.1000,1.5900,0.6576,0.6576
2.0000,1.5900,0.6500,0.6500
1.9000,1.6400,0.6500,0.6500
1.8000,1.6400,0.6500,0.6500
1.7000,1.6900,0.6325,0.6325
1.6000,1.6900,0.6500,0.6500
1.5000,1.6900,0.6185,0.6185
1.4000,1.7400,0.6021,0.6021
1.3000,1.7400,0.6185,0.6185
1.2000,1.7400,0.6083,0.6083
1.1000,1.7400,0.6000,0.6000
1.0000,1.7400,0.6000,0.6000
0.9000,1.7900,0.6000,0.6000
0.8000,1.7900,0.6083,0.6083
0.7000,1.7900,0.6042,0.6042
0.6000,1.7900,0.5701,0.5701
0.5000,1.8400,0.6021,0.6021
0.4000,1.8400,0.6000,0.6000
0.3000,1.8400,0.6021,0.6021
0.2000,1.8400,0.6021,0.6021
0.1000,1.8400,0.6185,0.6185
0.0000,1.8900,0.6964,0.6964
-0.1000,1.8900,0.6671,0.6671
-0.2000,1.9400,0.7018,0.7018
-0.3000,1.9400,0.7018,0.7018
-0.4000,1.9900,0.7649,0.7649
-0.5000,2.0900,0.8860,0.8860
-0.6000,2.1400,0.9124,0.9124
-0.7000,2.2400,1.0012,1.0012
-0.8000,2.3400,1.0794,1.0794
-0.8500,2.4400,1.1543,1.1543
-0.8500,2.5400,1.1281,1.1281
-0.9000,2.6400,1.1543,1.1543
-0.9500,2.7400,1.1769,1.1769
-0.9500,2.8400,1.1597,1.1597
-1.0000,2.9400,1.2010,1.2010
-1.0000,3.0400,1.2010,1.2010
-1.0500,3.1400,1.2590,1.2590
-1.0500,3.2400,1.2748,1.2748
-1.0500,3.3400,1.2981,1.2981
-1.1000,3.4400,1.3757,1.3757
-1.1000,3.5400,1.4116,1.4116
-1.1000,3.6400,1.4534,1.4534
-1.1500,3.7400,1.4036,1.4036
-1.1000,3.8400,1.4500,1.4500
-1.1000,3.9400,1.4431,1.4431
-1.0500,4.0400,1.4714,1.4714
-1.0000,4.1400,1.5075,1.5075
-0.9000,4.2400,1.5628,1.5628
-0.8000,4.2400,1.5532,1.5532
-0.7000,4.2400,1.5008,1.5008
-0.6000,4.1900,1.4422,1.4422
-0.5000,4.1900,1.3892,1.3892
-0.4000,4.1900,1.3416,1.3416
-0.3000,4.1900,1.3000,1.3000
-0.2000,4.1900,1.2649,1.2649
-0.1000,4.1400,1.1885,1.1885
0.0000,4.1400,1.1673,1.1673
0.1000,4.1400,1.1543,1.1543
0.2000,4.1400,1.1500,1.1500
0.3000,4.0900,1.1011,1.1011
0.4000,4.0900,1.1102,1.1102
0.5000,4.0900,1.1281,1.1281
0.6000,4.0900,1.1543,1.1543
0.7000,4.0900,1.1885,1.1885
0.8000,4.0400,1.1853,1.1853
0.9000,4.0400,1.2166,1.2166
1.0000,3.9900,1.2166,1.2166
1.1000,3.9400,1.1885,1.1885
1.2000,3.8900,1.1500,1.1500
1.3000,3.8900,1.1500,1.1500
1.4000,3.8400,1.1011,1.1011
1.5000,3.7900,1.0607,1.0607
1.6000,3.7900,1.0794,1.0794
1.7000,3.7400,1.0512,1.0512
1.8000,3.7400,1.0607,1.0607
1.9000,3.7400,1.0794,1.0794
2.0000,3.7400,1.1011,1.1011
2.1000,3.7400,1.1068,1.1068
2.2000,3.7400,1.0794,1.0794
2.3000,3.7400,1.0607,1.0607
2.4000,3.7400,1.0512,1.0512
2.5000,3.6900,1.1000,1.1000
2.6000,3.6900,1.1000,1.1000
2.7000,3.6900,1.1000,1.1000
2.8000,3.6900,1.1000,1.1000
2.9000,3.6900,1.1000,1.1000
3.0000,3.6900,1.1000,1.1000
3.1000,3.6400,1.1500,1.1500
3.2000,3.6400,1.1500,1.1500
3.3000,3.6400,1.1500,1.1500
3.4000,3.6400,1.1500,1.1500
3.5000,3.5900,1.2000,1.2000
3.6000,3.5900,1.2042,1.2042
3.7000,3.5900,1.2166,1.2166
3.8000,3.5900,1.2369,1.2369
3.9000,3.5900,1.2649,1.2649
4.0000,3.5900,1.2981,1.2981
4.1000,3.5400,1.3601,1.3601
4.2000,3.5400,1.3928,1.3928
4.3000,3.5400,1.4221,1.4221
4.4000,3.5400,1.4431,1.4431
4.5000,3.5400,1.4705,1.4705
4.6000,3.5400,1.5042,1.5042
4.7000,3.5400,1.5403,1.5403
4.8000,3.5400,1.5660,1.5660
4.9000,3.5400,1.5977,1.5977
5.0000,3.5400,1.6348,1.6348
5.1000,3.5400,1.6763,1.6763
5.2000,3.6400,1.8028,1.8028
5.3000,3.7400,1.8310,1.8310
5.4000,3.8400,1.7868,1.7868
5.5000,3.9400,1.7241,1.7241
5.5500,4.0400,1.7088,1.7088
5.6000,4.1400,1.6919,1.6919
5.6500,4.2400,1.6688,1.6688
5.7000,4.3400,1.6378,1.6378
5.7500,4.4400,1.6070,1.6070
5.8000,4.5400,1.5700,1.5700
5.8500,4.6400,1.5403,1.5403
5.9000,4.7400,1.5182,1.5182
5.9000,4.8400,1.5403,1.5403
5.9500,4.9400,1.5182,1.5182
5.9500,5.0400,1.5508,1.5508
6.0000,5.1400,1.5297,1.5297
6.0000,5.2400,1.5508,1.5508
6.0500,5.3400,1.5207,1.5207
6.1000,5.4400,1.4916,1.4916
6.1000,5.5400,1.5133,1.5133
6.1500,5.6400,1.4807,1.4807
6.1500,5.7400,1.5033,1.5033
6.2000,5.8400,1.4509,1.4509
6.2000,5.9400,1.4509,1.4509
6.2500,6.0400,1.4080,1.4080
6.2500,6.1400,1.4221,1.4221
6.3000,6.2400,1.3946,1.3946
6.3000,6.3400,1.4230,1.4230
6.3500,6.4400,1.4036,1.4036
6.3500,6.5400,1.4142,1.4142
6.3500,6.6400,1.4318,1.4318
6.3500,6.7400,1.4230,1.4230
