# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.8500,11.2900,1.3537,1.3537
-2.8500,11.1900,1.3647,1.3647
-2.9000,11.0900,1.3342,1.3342
-2.9000,10.9900,1.3500,1.3500
-2.9000,10.8900,1.3500,1.3500
-2.9500,10.7900,1.3038,1.3038
-2.9500,10.6900,1.3153,1.3153
-2.9500,10.5900,1.3342,1.3342
-2.9500,10.4900,1.3500,1.3500
-3.0000,10.3900,1.3000,1.3000
-3.0000,10.2900,1.3038,1.3038
-3.0000,10.1900,1.3153,1.3153
-3.0000,10.0900,1.3342,1.3342
-3.0500,9.9900,1.3000,1.3000
-3.0500,9.8900,1.3000,1.3000
-3.1000,9.7900,1.2540,1.2540
-3.1000,9.6900,1.2659,1.2659
-3.1000,9.5900,1.2855,1.2855
-3.1000,9.4900,1.3000,1.3000
-3.1500,9.3900,1.2500,1.2500
-3.1500,9.2900,1.2540,1.2540
-3.1500,9.1900,1.2659,1.2659
-3.1500,9.0900,1.2855,1.2855
-3.1500,8.9900,1.2981,1.2981
-3.2000,8.8900,1.2500,1.2500
-3.2000,8.7900,1.2540,1.2540
-3.2000,8.6900,1.2659,1.2659
-3.2000,8.5900,1.2855,1.2855
-3.2000,8.4900,1.2659,1.2659
-3.2500,8.3900,1.2510,1.2510
-3.2500,8.2900,1.2590,1.2590
-3.2500,8.1900,1.2748,1.2748
-3.2500,8.0900,1.2590,1.2590
-3.2500,7.9900,1.2510,1.2510
-3.3000,7.8900,1.2510,1.2510
-3.3500,7.7900,1.2093,1.2093
-3.3500,7.6900,1.2258,1.2258
-3.3500,7.5900,1.2500,1.2500
-3.4000,7.4900,1.2042,1.2042
-3.4500,7.3900,1.1500,1.1500
-3.4500,7.2900,1.1500,1.1500
-3.4500,7.1900,1.1500,1.1500
-3.4500,7.0900,1.1281,1.1281
-3.4500,6.9900,1.1102,1.1102
-3.4500,6.8900,1.1011,1.1011
-3.4500,6.7900,1.1000,1.1000
-3.5000,6.6900,1.0500,1.0500
-3.5000,6.5900,1.0308,1.0308
-3.5000,6.4900,1.0112,1.0112
-3.5000,6.3900,1.0012,1.0012
-3.5000,6.2900,1.0000,1.0000
-3.5000,6.1900,1.0000,1.0000
-3.5000,6.0900,0.9962,0.9962
-3.5000,5.9900,0.9708,0.9708
-3.5000,5.8900,0.9552,0.9552
-3.5000,5.7900,0.9500,0.9500
-3.5000,5.6900,0.9500,0.9500
-3.5000,5.5900,0.9487,0.9487
-3.5000,5.4900,0.9220,0.9220
-3.5000,5.3900,0.9055,0.9055
-3.5000,5.2900,0.9000,0.9000
-3.5000,5.1900,0.9000,0.9000
-3.5000,5.0900,0.9000,0.9000
-3.5000,4.9900,0.8860,0.8860
-3.5000,4.8900,0.8631,0.8631
-3.5000,4.7900,0.8515,0.8515
-3.5000,4.6900,0.8500,0.8500
-3.5000,4.5900,0.8500,0.8500
-3.5000,4.4900,0.8500,0.8500
-3.5000,4.3900,0.8246,0.8246
-3.5000,4.2900,0.8062,0.8062
-3.5000,4.1900,0.8000,0.8000
-3.5000,4.0900,0.8000,0.8000
