# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, -3.8782028, 3.8692690, -3.0208989, 0.1002070, 5.3177836, -0.6706683
0.9957794, -3.6995109, 2.8903424, -2.8911695, 0.1602461, 5.1906789, -1.3656174
1.9915588, -3.3610957, 1.9560956, -2.6801235, 0.2593138, 4.9217314, -1.7555632
2.9873382, -2.8023194, 1.1365944, -2.3984345, 0.3001813, 4.5527061, -0.7055522
3.9831175, -2.0378676, 0.5023334, -2.1418204, 0.2191017, 4.3956779, 0.1781745
4.9788969, -1.1539576, 0.0475229, -1.9626802, 0.1441717, 4.4358572, 0.4888379
5.9746763, -0.2134856, -0.2715032, -1.8387553, 0.1084947, 4.5442687, 0.5015455
6.9704557, 0.7597714, -0.4867491, -1.7411483, 0.0901210, 4.6528739, 0.3077128
7.9662351, 1.7544706, -0.6114865, -1.6463695, 0.1094036, 4.7182691, -0.3768084
8.9620145, 2.7628382, -0.6268443, -1.5281189, 0.0963037, 4.6380629, -3.8861147
9.9577939, 3.7584369, -0.5429977, -1.4351026, 0.1701525, 3.7110917, -5.6510316
10.9535733, 4.6847118, -0.2377578, -0.8183039, 1.9846192, 1.5867704, 2.2934793
11.9493526, 4.5435890, 0.5695501, 0.8886858, 0.7716706, 2.6618488, 0.6969658
12.9451320, 3.6628003, 1.0390035, 1.1768679, 0.1174978, 2.9109255, 1.0953875
13.9409114, 2.6928235, 1.3863337, 1.2682090, 0.0620138, 3.2642022, 1.1920442
14.9366908, 1.7235164, 1.6646030, 1.3083324, 0.0251453, 3.6095764, -0.5453463
15.9324702, 0.7598371, 1.9231583, 1.2778437, -0.1555028, 3.4558578, -2.1010135
16.9282496, -0.1837629, 2.3378749, 1.0175810, -0.2760364, 2.7854373, -2.0226862
17.9240290, -0.7990108, 3.0052686, -0.1998147, -5.5295776, 1.9314147, 2.6313451
18.9198083, 0.0706737, 3.2762773, -1.4538289, 0.8095014, 2.9951362, 1.3176097
19.9155877, 1.0145174, 3.5408835, -1.2518489, 0.0032768, 3.4051341, 1.4006912
20.9113671, 2.0127178, 3.8578451, -1.2727403, -0.0016207, 3.7926899, 1.3886506
21.9071465, 2.9798288, 4.1651428, -1.2431597, 0.0599259, 4.1412651, 1.0508280
22.9029259, 3.9143178, 4.5374476, -1.1108179, 0.2222864, 4.3866687, 0.0755688
