# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
23.8987053, 4.6878026, 5.0746845, -0.8013721, 0.1912609, 4.4037895, 0.1678007
24.8944847, 5.3095444, 5.8158191, -0.6143892, 0.1287698, 4.4415703, 0.4692613
25.8902641, 5.8418559, 6.6698280, -0.5067510, 0.0904084, 4.5455592, 0.5321012
26.8860434, 6.2902724, 7.5649238, -0.4251196, 0.0727943, 4.6606672, 0.4978226
27.8818228, 6.6721419, 8.4933440, -0.3563109, 0.0669140, 4.7658433, 0.4152983
28.8776022, 6.9896107, 9.4440770, -0.2874395, 0.0719834, 4.8518402, 0.2051562
29.8733816, 7.2354658, 10.4095161, -0.2087182, 0.0874119, 4.8937648, -0.1237909
30.8691610, 7.3948232, 11.3983644, -0.1040181, 0.1270068, 4.8685107, -0.7529934
31.8649404, 7.4253857, 12.3976287, 0.0543205, 0.1964989, 4.7119811, -1.5262976
32.8607198, 7.2571308, 13.3767758, 0.3056060, 0.3116242, 4.3775626, -2.1641742
33.8564992, 6.7919878, 14.2492327, 0.7073111, 0.4809160, 3.8539557, -1.9871644
34.8522785, 5.9788112, 14.8155591, 1.2461916, 0.5963142, 3.3008211, -0.4286455
35.8480579, 5.0163152, 14.8862622, 1.7713911, 0.7286475, 3.1688716, -0.1863033
36.8438373, 4.1757622, 14.3922302, 2.4235417, 0.6014905, 3.1097770, 0.5090866
37.8396167, 3.7042150, 13.5195880, 2.8189223, 0.2769647, 3.2687289, 1.1271724
38.8353961, 3.4862427, 12.5527885, 2.9911340, 0.0951265, 3.5957501, 1.2804817
39.8311755, 3.3658083, 11.5615332, 3.0339370, -0.0037035, 3.9344089, 0.8797317
40.8269549, 3.2403628, 10.5600638, 2.9837308, -0.1012850, 4.1510976, -0.0027875
41.8227342, 3.0117792, 9.5861199, 2.8149076, -0.2388431, 4.1504288, -1.5596053
42.8185136, 2.5563065, 8.7076748, 2.4723137, -0.4538230, 3.7576607, -2.6208805
43.8142930, 1.7571561, 8.1289772, 1.8524531, -0.7614241, 2.9833499, -0.2164229
44.8100724, 0.7918358, 8.1422369, 1.2979919, -0.4467898, 2.9102160, 0.1505162
45.8058518, 0.0005537, 8.6569768, 0.6464988, -0.6104843, 2.9612699, 0.4458468
46.8016312, -0.3594410, 9.5779150, 0.1342936, -0.3640562, 3.1075794, 1.0195223
47.7974106, -0.3530539, 10.5860068, -0.1140533, -0.1588093, 3.4186968, 1.2333993
48.7931900, -0.1794310, 11.5765795, -0.2154863, -0.0532907, 3.7608344, 1.3011129
49.7889693, 0.0458865, 12.5498086, -0.2252217, 0.0331194, 4.0908579, 0.3289046
50.7847487, 0.2408958, 13.5510789, -0.1425849, 0.1362282, 4.1701500, -0.7405999
51.7805281, 0.2812994, 14.5587943, 0.0997418, 0.3449113, 3.9893863, -2.5962649
52.7763075, -0.0490287, 15.4652165, 0.7197482, 0.9730398, 3.2778939, -0.8481532
53.7720869, -0.8572630, 15.9323709, 1.2123184, 0.3429132, 3.0092261, 0.0390540
54.7678663, -1.8404165, 16.0502698, 1.7158186, 0.5890172, 3.0221218, 0.2921225
55.7636457, -2.7211233, 15.6032767, 2.3381795, 0.4874377, 3.1168893, 0.7853316
56.7594250, -3.2692506, 14.7702234, 2.7553086, 0.3165635, 3.3584272, 1.1557073
57.7552044, -3.5310413, 13.8108144, 2.9647214, 0.1379314, 3.6851991, 1.2322166
58.7509838, -3.6539395, 12.8221511, 3.0569393, 0.0564872, 4.0043381, 1.2265803
59.7467632, -3.7174666, 11.8268971, 3.0917584, 0.0155972, 4.2985498, 1.1205023
60.7425426, -3.7619947, 10.8322981, 3.0993280, -0.0002030, 4.5507227, 0.9990802
61.7383220, -3.8053502, 9.8370778, 3.0962119, -0.0046824, 4.7643262, 0.8812965
62.7341014, -3.8529773, 8.8410870, 3.0919579, -0.0020110, 4.9450943, 0.7539137
63.7298808, -3.9024576, 7.8448815, 3.0933149, 0.0061549, 5.0946463, 0.6128078
64.7256601, -3.9455481, 6.8491087, 3.1054999, 0.0191794, 5.2130475, 0.4460250
65.7214395, -3.9691517, 5.8543552, 3.1332560, 0.0374506, 5.2975607, 0.2292429
66.7172189, -3.9551813, 4.8606500, -3.1010381, 0.0624405, 5.3404775, -0.1214512
67.7129983, -3.8782028, 3.8692690, -3.0208989, 0.1002070, 5.3177836, -0.6706683
