1.368348,0,0,1.0
1.873348,0,0,1.0
2.373348,0,0,1.0
2.873348,0,0,1.0
3.373348,0,0,1.0
3.873348,0,0,1.0
4.378347,0,0,1.0
4.878347,0,0,1.0
5.378347,0,0,1.0
5.878347,0,0,1.0
6.378347,0,0,1.0
6.883348,0,0,1.0
7.383348,0,0,1.0
7.883348,0,0,1.0
8.383348,0,0,1.0
8.87567,0.056134,0.202657,1.0
9.284956,0.335296,0.671553,1.0
9.523912,0.769285,1.14045,1.0
9.611506,1.260965,1.373423,1.0
9.60946,1.760359,1.551484,1.0
9.619115,2.260266,1.551484,1.0
9.628771,2.760173,1.551484,1.0
9.638427,3.26008,1.551484,1.0
9.648083,3.759986,1.551484,1.0
9.657739,4.259893,1.551484,1.0
9.667394,4.7598,1.551484,1.0
9.67705,5.259706,1.551484,1.0
9.686706,5.759614,1.551484,1.0
9.696362,6.25952,1.551484,1.0
9.706017,6.759427,1.551484,1.0
9.715672,7.259334,1.551484,1.0
9.69761,7.756748,1.669739,1.0
9.462319,8.192736,2.138636,1.0
9.055402,8.475338,2.607532,1.0
8.565546,8.562892,2.988369,1.0
8.066163,8.637097,3.003977,1.0
7.566638,8.634318,3.121723,1.0
7.066737,8.644253,3.121723,1.0
6.561837,8.654286,3.121723,1.0
6.061935,8.66422,3.121723,1.0
5.562034,8.674154,3.121723,1.0
5.062133,8.684089,3.121723,1.0
4.562232,8.694022,3.121723,1.0
4.06233,8.703957,3.121723,1.0
3.562429,8.713891,3.121723,1.0
3.062527,8.723825,3.121723,1.0
2.562626,8.733759,3.121723,1.0
2.062725,8.743693,3.121723,1.0
1.562824,8.753627,3.121723,1.0
1.062922,8.763561,3.121723,1.0
0.558022,8.773595,3.121723,1.0
0.058121,8.783529,3.121723,1.0
-0.441781,8.793463,3.121723,1.0
-0.941682,8.803397,3.121723,1.0
-1.441583,8.813332,3.121723,1.0
-1.941485,8.823265,3.121723,1.0
-2.441386,8.8332,3.121723,1.0
-2.941287,8.843134,3.121723,1.0
-3.436487,8.808758,-2.991628,1.0
-3.922219,8.69193,-2.921068,1.0
-4.388011,8.506925,-2.853586,1.0
-4.885028,8.518441,-3.134923,1.0
-5.376054,8.490839,3.073239,1.0
-5.851579,8.630653,2.941947,1.0
-6.350019,8.663659,3.050825,1.0
-6.84796,8.708981,3.050825,1.0
-7.345902,8.754302,3.050825,1.0
-7.842414,8.756724,-3.067215,1.0
-8.335562,8.768994,3.084679,1.0
-8.821226,8.665241,-2.992192,1.0
-9.320755,8.667543,-3.119825,1.0
-9.820637,8.656661,-3.119825,1.0
-10.320518,8.645778,-3.119825,1.0
-10.820399,8.634895,-3.119825,1.0
-11.32528,8.623903,-3.119825,1.0
-11.825161,8.613021,-3.119825,1.0
-12.325043,8.602138,-3.119825,1.0
-12.797807,8.462757,-2.757743,1.0
-13.156979,8.119825,-2.333899,1.0
-13.484263,7.754075,-2.176312,1.0
-13.628952,7.276695,-1.870498,1.0
-13.702884,6.785108,-1.690255,1.0
-13.731286,6.287729,-1.585035,1.0
-13.738476,5.78278,-1.585035,1.0
-13.745595,5.282831,-1.585035,1.0
-13.752714,4.782882,-1.585035,1.0
-13.759904,4.277933,-1.585035,1.0
-13.767023,3.777983,-1.585035,1.0
-13.774141,3.278034,-1.585035,1.0
-13.78126,2.778085,-1.585035,1.0
-13.78838,2.278136,-1.585035,1.0
-13.795499,1.778186,-1.585035,1.0
-13.802617,1.278237,-1.585035,1.0
-13.746182,0.78644,-1.363622,1.0
-13.465174,0.37842,-0.894726,1.0
-13.090904,0.052491,-0.707167,1.0
-12.61928,-0.099224,-0.238271,1.0
-12.119917,-0.091732,-0.00748,1.0
-11.614931,-0.09551,-0.00748,1.0
-11.114945,-0.09925,-0.00748,1.0
-10.61496,-0.102989,-0.00748,1.0
-10.114973,-0.106729,-0.00748,1.0
-9.614987,-0.110469,-0.00748,1.0
-9.115002,-0.114209,-0.00748,1.0
-8.615015,-0.117949,-0.00748,1.0
-8.115029,-0.121689,-0.00748,1.0
-7.615043,-0.125429,-0.00748,1.0
-7.115057,-0.129169,-0.00748,1.0
-6.615071,-0.132909,-0.00748,1.0
-6.115085,-0.136649,-0.00748,1.0
-5.615099,-0.140389,-0.00748,1.0
-5.115113,-0.144129,-0.00748,1.0
-4.610127,-0.147906,-0.00748,1.0
-4.110141,-0.151646,-0.00748,1.0
-3.610155,-0.155386,-0.00748,1.0
-3.110169,-0.159126,-0.00748,1.0
-2.610183,-0.162866,-0.00748,1.0
-2.110197,-0.166606,-0.00748,1.0
-1.605211,-0.170383,-0.00748,1.0
-1.105225,-0.174123,-0.00748,1.0
-0.605239,-0.177863,-0.00748,1.0
-0.105253,-0.181603,-0.00748,1.0
0.394733,-0.185343,-0.00748,1.0
0.894719,-0.189082,-0.00748,1.0
1.394705,-0.192822,-0.00748,1.0
1.894691,-0.196562,-0.00748,1.0
2.399677,-0.20034,-0.00748,1.0
2.904663,-0.204117,-0.00748,1.0
3.404649,-0.207857,-0.00748,1.0
3.909634,-0.211634,-0.00748,1.0
4.40962,-0.215374,-0.00748,1.0
