x,y,yaw,velocities
2.03,-10.65,2.35619449,4.11906081
1.98,-10.6,3.141592654,4.13043132
1.93,-10.6,2.35619449,4.141801829
1.88,-10.55,2.35619449,4.153172338
1.83,-10.5,2.35619449,4.164542847
1.78,-10.45,2.35619449,4.175913357
1.73,-10.4,3.141592654,4.187283866
1.68,-10.4,2.35619449,4.198654375
1.63,-10.35,3.141592654,4.210024884
1.58,-10.35,2.35619449,4.221395394
1.53,-10.3,1.570796327,4.232765903
1.53,-10.25,2.35619449,4.244136412
1.48,-10.2,1.570796327,4.255506922
1.48,-10.15,2.35619449,4.266877431
1.43,-10.1,2.35619449,4.27824794
1.38,-10.05,2.35619449,4.289618449
1.33,-10,1.570796327,4.300988959
1.33,-9.95,1.570796327,4.312359468
1.33,-9.9,2.35619449,4.323729977
1.28,-9.85,1.570796327,4.335100486
1.28,-9.8,2.35619449,4.346470996
1.23,-9.75,1.570796327,4.353548181
1.23,-9.7,1.570796327,4.355699367
1.23,-9.65,1.570796327,4.357850553
1.23,-9.6,2.35619449,4.360001739
1.18,-9.55,1.570796327,4.362152926
1.18,-9.5,1.570796327,4.364304112
1.18,-9.45,1.570796327,4.366455298
1.18,-9.4,2.35619449,4.368606484
1.13,-9.35,1.570796327,4.370757671
1.13,-9.3,1.570796327,4.372908857
1.13,-9.25,1.570796327,4.375060043
1.13,-9.2,2.35619449,4.377211229
1.08,-9.15,1.570796327,4.379362416
1.08,-9.1,1.570796327,4.381513602
1.08,-9.05,1.570796327,4.383664788
1.08,-9,2.35619449,4.385815974
1.03,-8.95,1.570796327,4.38796716
1.03,-8.9,1.570796327,4.390118347
1.03,-8.85,1.570796327,4.392269533
1.03,-8.8,1.570796327,4.394420719
1.03,-8.75,1.570796327,4.396571905
1.03,-8.7,1.570796327,4.398723092
1.03,-8.65,1.570796327,4.396990069
1.03,-8.6,1.570796327,4.384791311
1.03,-8.55,0.785398163,4.372592552
1.08,-8.5,1.570796327,4.360393793
1.08,-8.45,1.570796327,4.348195034
1.08,-8.4,0.785398163,4.335996275
1.13,-8.35,1.570796327,4.323797516
1.13,-8.3,0.785398163,4.311598758
1.18,-8.25,1.570796327,4.299399999
1.18,-8.2,1.570796327,4.28720124
1.18,-8.15,0.785398163,4.275002481
1.23,-8.1,0.785398163,4.262803722
1.28,-8.05,1.570796327,4.250604964
1.28,-8,0.785398163,4.238406205
1.33,-7.95,1.570796327,4.226207446
1.33,-7.9,1.570796327,4.214008687
1.33,-7.85,0.785398163,4.201809928
1.38,-7.8,1.570796327,4.189611169
1.38,-7.75,0.785398163,4.177412411
1.43,-7.7,1.570796327,4.165213652
1.43,-7.65,0.785398163,4.153014893
1.48,-7.6,1.570796327,4.140816134
1.48,-7.55,1.570796327,4.126098625
1.48,-7.5,1.570796327,4.102903354
1.48,-7.45,1.570796327,4.079708082
1.48,-7.4,0.785398163,4.056512811
1.53,-7.35,1.570796327,4.033317539
1.53,-7.3,1.570796327,4.010122268
1.53,-7.25,1.570796327,3.986926996
1.53,-7.2,0.785398163,3.963731725
1.58,-7.15,1.570796327,3.940536454
1.58,-7.1,1.570796327,3.917341182
1.58,-7.05,1.570796327,3.894145911
1.58,-7,0.785398163,3.870950639
1.63,-6.95,1.570796327,3.847755368
1.63,-6.9,0.785398163,3.824560096
1.68,-6.85,1.570796327,3.801364825
1.68,-6.8,0.785398163,3.778169554
1.73,-6.75,1.570796327,3.754974282
1.73,-6.7,0.785398163,3.731779011
1.78,-6.65,0.785398163,3.708583739
1.83,-6.6,1.570796327,3.685388468
1.83,-6.55,0.785398163,3.662193196
1.88,-6.5,0.785398163,3.638997925
