1.459605,0.076276,0.015646,1.5
1.598762,-0.101394,0.125498,1.5
1.424778,-0.02003,0.001807,1.5
1.392896,0.018316,0.003289,1.5
1.51338,0.073233,0.055589,1.5
1.494492,-0.050073,0.048116,1.5
1.496619,0.022288,0.008309,1.5
1.517319,-0.032759,0.043769,1.5
1.513774,0.049614,0.024007,1.5
1.597103,-0.024378,0.145341,1.5
1.627676,0.02857,0.015609,1.5
1.487237,0.019784,0.001599,1.5
1.55295,-0.059895,0.047661,1.5
1.521224,-0.047312,0.064084,1.5
1.387249,0.089205,0.128325,1.5
1.426016,-0.013961,0.005283,1.5
1.503711,0.050069,0.021612,1.5
1.601955,-0.082456,0.065351,1.5
1.508279,0.007515,0.030848,1.5
1.522826,-0.031813,0.036919,1.5
1.578117,-0.032906,0.040576,1.5
1.5395,0.021721,0.075207,1.5
1.540404,-0.044575,0.039619,1.5
1.613506,0.029051,0.038187,1.5
1.530191,0.005796,0.031653,1.5
1.629152,-0.062333,0.079201,1.5
1.435523,-0.041627,0.009278,1.5
1.517389,0.029284,0.035976,1.5
1.4792,0.077001,-0.006484,1.5
1.585304,0.008375,0.059977,1.5
1.534725,-0.050517,0.035268,1.5
1.522825,-0.063029,0.043371,1.5
1.44851,-0.042875,0.031939,1.5
1.585714,-0.07498,0.039972,1.5
1.502632,0.027315,0.051089,1.5
1.439465,0.032553,0.03944,1.5
1.584784,-0.041906,0.051346,1.5
1.457711,0.043722,0.059995,1.5
1.429749,-0.008105,0.01473,1.5
1.536148,-0.017496,0.033097,1.5
1.562619,-0.050571,0.037445,1.5
1.509935,-0.01836,0.039247,1.5
1.560354,-0.056285,0.082678,1.5
1.621269,-0.09113,0.059469,1.5
1.484308,0.020871,0.000485,1.5
1.566618,0.050299,0.015984,1.5
1.395461,0.033834,0.031171,1.5
1.571098,-0.048446,-0.005451,1.5
1.602956,0.030571,0.022993,1.5
1.628482,-0.026621,0.01608,1.5
1.766039,-0.010487,0.060711,1.5
1.71187,-0.007044,0.035772,1.5
1.874445,0.011093,0.038201,1.5
1.6869,-0.009227,0.026852,1.5
1.8019,0.054328,0.024387,1.5
1.787591,-0.024645,0.123183,1.5
1.942712,0.054646,0.005031,1.5
1.982753,0.030632,0.026189,1.5
