x,y,yaw,velocities
-3.8782028,3.869269,-1.390245541894321,5.3177836
-3.6995109,2.8903424,-1.2232651793520917,5.1906789
-3.3610957,1.9560956,-0.9723562070475519,4.9217314
-2.8023194,1.1365944,-0.6925865695402135,4.5527061
-2.0378676,0.5023334,-0.47521491776248026,4.3956779
-1.1539576,0.0475229,-0.32703839117040556,4.4358572
-0.2134856,-0.2715032,-0.21765685725762116,4.5442687
0.7597714,-0.4867491,-0.1247509199094808,4.6528739
1.7544706,-0.6114865,-0.015229180985783634,4.7182691
2.7628382,-0.6268443,0.08401900348488807,4.6380629
3.7584369,-0.5429977,0.31832807135670343,3.7110917
4.6847118,-0.2377578,1.743854395080659,1.5867704
4.543589,0.5695501,2.6519010477506137,2.6618488
3.6628003,1.0390035,2.797736999552109,2.9109255
2.6928235,1.3863337,2.862030220316233,3.2642022
1.7235164,1.664603,2.879465847378473,3.6095764
0.7598371,1.9231583,2.7275008489132966,3.4558578
-0.1837629,2.3378749,2.315561862116822,2.7854373
-0.7990108,3.0052686,0.30208046097677593,1.9314147
0.0706737,3.2762773,0.2733328539366326,2.9951362
1.0145174,3.5408835,0.3074635293650741,3.4051341
2.0127178,3.8578451,0.3076589024912246,3.7926899
2.9798288,4.1651428,0.3791303534526756,4.1412651
3.9143178,4.5374476,0.6070702391264016,4.3866687
4.6878026,5.0746845,0.8727786307402751,4.4037895
5.3095444,5.8158191,1.0134138795913123,4.4415703
5.8418559,6.669828,1.1063727000305146,4.5455592
6.2902724,7.5649238,1.1805772225452782,4.6606672
6.6721419,8.493344,1.2485178306863407,4.7658433
6.9896107,9.444077,1.3214401354760934,4.8518402
7.2354658,10.4095161,1.4110155392959507,4.8937648
7.3948232,11.3983644,1.5402208568950366,4.8685107
7.4253857,12.3976287,1.7409725323798098,4.7119811
7.2571308,13.3767758,2.0606043074777833,4.3775626
6.7919878,14.2492327,2.5332618630532653,3.8539557
5.9788112,14.8155591,3.0682662846766786,3.3008211
5.0163152,14.8862622,-2.610231878117314,3.1688716
4.1757622,14.3922302,-2.0662138254564413,3.109777
3.704215,13.519588,-1.7925462816731963,3.2687289
3.4862427,12.5527885,-1.6917005953255329,3.5957501
3.3658083,11.5615332,-1.6954087317252726,3.9344089
3.2403628,10.5600638,-1.8013229630693566,4.1510976
3.0117792,9.5861199,-2.0491331906150116,4.1504288
2.5563065,8.7076748,-2.514847714335914,3.7576607
1.7571561,8.1289772,3.1278574548684404,2.9833499
0.7918358,8.1422369,2.5648563455752784,2.910216
0.0005537,8.6569768,1.9434333048318486,2.9612699
-0.359441,9.577915,1.5644605798552065,3.1075794
-0.3530539,10.5860068,1.3972835799741739,3.4186968
-0.179431,11.5765795,1.3432891768625745,3.7608344
0.0458865,12.5498086,1.378442443309734,4.0908579
0.2408958,13.5510789,1.5307235338247378,4.17015
0.2812994,14.5587943,1.9202687410361146,3.9893863
-0.0490287,15.4652165,2.61751137768315,3.2778939
-0.857263,15.9323709,3.0222434627471846,3.0092261
-1.8404165,16.0502698,-2.6719320036244976,3.0221218
-2.7211233,15.6032767,-2.1527566685622093,3.1168893
-3.2692506,14.7702234,-1.8371780802152136,3.3584272
-3.5310413,13.8108144,-1.6944693542574514,3.6851991
-3.6539395,12.8221511,-1.6345398884359075,4.0043381
-3.7174666,11.8268971,-1.6155363535266631,4.2985498
-3.7619947,10.8322981,-1.6143325212735475,4.5507227
-3.8053502,9.8370778,-1.6185787437894992,4.7643262
-3.8529773,8.841087,-1.6204243112256935,4.9450943
-3.9024576,7.8448815,-1.6140427714082555,5.0946463
-3.9455481,6.8491087,-1.5945199645725183,5.2130475
-3.9691517,5.8543552,-1.5567383549935436,5.2975607
-3.9551813,4.86065,-1.493304069329239,5.3404775
-3.8782028,3.869269,-1.493304069329239,5.3177836
